features,n_features,scaler,model,seq_length,mse,rmse,mae,r2,mape
"('USOIL',)",1,Standard,GRU,50,0.07887197349667165,0.2808415451756945,0.19769179827110692,0.917260083361375,138.5600618601315
"('USOIL',)",1,Standard,CNN,50,0.11825191982807773,0.34387776873196924,0.26932622918762994,0.8759489137247795,165.35654747127623
"('USOIL',)",1,Standard,RNN,50,0.133329512067784,0.36514313914927116,0.2679173853040117,0.8601319045931756,236.63920342639727
"('USOIL',)",1,Standard,ANN,50,0.09903552782628991,0.31469910680885305,0.2491945900349169,0.896107692589241,195.5057510692543
"('USOIL',)",1,Standard,RANDOM_FOREST,N/A,0.008334884490685951,0.09129558856092637,0.032240431705149245,0.9912563662682914,29.29967855207776
"('USOIL',)",1,Standard,XGBOOST,N/A,0.01553300646562003,0.12463148264230844,0.0409370315446608,0.9837052427733806,74.94680879558247
"('USM2', 'USPPIYY')",2,MinMax,LSTM,50,0.0004330447349667916,0.02080972693157677,0.015577570445697903,0.9932976528076995,6.412978981502183
"('USM2', 'USPPIYY')",2,MinMax,GRU,50,0.002603644677702112,0.05102592162521038,0.042434674209607275,0.9597027069346933,21.649136566305454
"('USM2', 'USPPIYY')",2,MinMax,CNN,50,0.00048774573948240043,0.0220849663681519,0.016732070784727562,0.9924510309822215,11.004293035608587
"('USM2', 'USPPIYY')",2,MinMax,RNN,50,0.0026709024878082063,0.05168077483753709,0.043648423049500604,0.9586617401284361,22.134372657085287
"('USM2', 'USPPIYY')",2,MinMax,ANN,50,0.003074262088181777,0.05544602860603974,0.045085640903765725,0.9524188375672064,23.12435343756739
"('USM2', 'USPPIYY')",2,MinMax,RANDOM_FOREST,N/A,2.566664482078986e-05,0.005066225895160012,0.003297563953253066,0.9996027505914289,1.4695420813768785
"('USM2', 'USPPIYY')",2,MinMax,XGBOOST,N/A,7.169303544918075e-05,0.008467173994266372,0.0053111075431941344,0.998890388045274,1.9951310280502916
"('USM2', 'USPPIYY')",2,Standard,LSTM,50,0.007240188414553689,0.08508929670971367,0.050647230288639294,0.9924047470944366,45.4616455373373
"('USM2', 'USPPIYY')",2,Standard,GRU,50,0.002346617497577654,0.04844189816241364,0.03327099539121335,0.9975383025487436,17.907814287511297
"('USM2', 'USPPIYY')",2,Standard,CNN,50,0.005394573802709338,0.07344776240777753,0.04871489735921852,0.9943408720873972,23.151819285858117
"('USM2', 'USPPIYY')",2,Standard,RNN,50,0.005979923499149128,0.07732996507919247,0.06199378303079955,0.993726816384963,41.816447784105506
"('USM2', 'USPPIYY')",2,Standard,ANN,50,0.010829600041774018,0.10406536427541115,0.08565698537479345,0.988639307919386,57.84417431600855
"('USM2', 'USPPIYY')",2,Standard,RANDOM_FOREST,N/A,0.0004259871959772189,0.020639457259754166,0.01359355288161157,0.9995531220594377,9.850041147313673
"('USM2', 'USPPIYY')",2,Standard,XGBOOST,N/A,0.0010507007928020865,0.032414515156054494,0.020241504607244602,0.9988977720202189,16.09287741204515
"('USM2', 'INDPRO')",2,MinMax,LSTM,50,0.0016452788895385266,0.04056203754175235,0.030341268631821964,0.9745355861520971,16.239732619370074
"('USM2', 'INDPRO')",2,MinMax,GRU,50,0.0017772828499278363,0.04215783260472289,0.03453722584852928,0.972492526158871,21.987118229509473
"('USM2', 'INDPRO')",2,MinMax,CNN,50,0.0019150690488701318,0.04376150190372963,0.03416516633256099,0.9703599729396535,22.34558591507763
"('USM2', 'INDPRO')",2,MinMax,RNN,50,0.002420331813279093,0.049196867921434725,0.03824505252034138,0.9625398883225986,16.92889644393376
"('USM2', 'INDPRO')",2,MinMax,ANN,50,0.0035863079382310995,0.05988579078739045,0.045959230340021584,0.9444937693507082,21.528348482537876
"('USM2', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,6.395067163902501e-06,0.0025288470028656342,0.0015297675238087304,0.9999010218645105,0.7917243392650726
"('USM2', 'INDPRO')",2,MinMax,XGBOOST,N/A,4.069911793963713e-05,0.006379586031995895,0.004403201172099377,0.9993700890535645,1.764064564863867
"('USM2', 'INDPRO')",2,Standard,LSTM,50,0.02100173353868219,0.14491974861516352,0.10810381872053773,0.9779683250561683,116.7733311078637
"('USM2', 'INDPRO')",2,Standard,GRU,50,0.024373406531512865,0.15611984669321471,0.12303452310811322,0.9744313025880886,104.10576513258587
"('USM2', 'INDPRO')",2,Standard,CNN,50,0.009776793596020985,0.09887766985533683,0.07490641394237431,0.9897437448149823,67.29979228375821
"('USM2', 'INDPRO')",2,Standard,RNN,50,0.013642680112672544,0.11680188402877988,0.09843595963271229,0.9856882722061266,71.02023151002193
"('USM2', 'INDPRO')",2,Standard,ANN,50,0.08390353957274292,0.2896610770758524,0.20735403050686607,0.9119817653576618,136.11463240392894
"('USM2', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,0.0001001951024398997,0.01000975036851068,0.006067867792609539,0.9998948912515315,8.05304822403208
"('USM2', 'INDPRO')",2,Standard,XGBOOST,N/A,0.0005783534434859422,0.024048980092426835,0.016061746982865367,0.9993932836522252,16.933011846848483
"('USM2', 'UNRATE')",2,MinMax,LSTM,50,0.0009012903771501622,0.030021498582685078,0.023888744694428154,0.9860504919215723,11.03649955973106
"('USM2', 'UNRATE')",2,MinMax,GRU,50,0.001636213852754647,0.04045014033046915,0.03422174788738732,0.9746758881092175,16.956822174141877
"('USM2', 'UNRATE')",2,MinMax,CNN,50,0.0007221120581263277,0.026872142790003325,0.019616723215849778,0.9888236818635366,14.069220467439802
