leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,mse,rmse,mae,r2,mape
"('USPPIYY', 'USOIL')",2,MinMax,LSTM,50,Kalman,0.06922310799900493,0.26310284680900914,0.2618534278375105,-23.686277974945966,107.12272226866769
"('USPPIYY', 'USOIL')",2,MinMax,GRU,50,Kalman,0.15946020040918182,0.39932468044084357,0.3988490257058628,-55.86654279230343,161.98765448671563
"('USPPIYY', 'USOIL')",2,MinMax,CNN,50,Kalman,0.002245035177482707,0.047381802176391596,0.029439869337358298,0.1993777214443052,9.94799187061508
"('USPPIYY', 'USOIL')",2,MinMax,RNN,50,Kalman,0.0019479578042296685,0.044135674960621915,0.035594251223646456,0.30532116761688555,12.834469830876749
"('USPPIYY', 'USOIL')",2,MinMax,ANN,50,Kalman,0.11407207214785964,0.33774557309883374,0.3356102450623739,-39.68027229087481,137.74728925127548
"('USPPIYY', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.007657041353340158,0.08750452190224318,0.07819588598208492,-1.73064669845406,32.96849269942587
"('USPPIYY', 'USOIL')",2,MinMax,XGBOOST,N/A,Kalman,0.007367551105514372,0.08583444008971208,0.07610483045931782,-1.6274089656298405,32.97425693328959
"('USPPIYY', 'USOIL')",2,Standard,LSTM,50,Kalman,0.7194483442275172,0.8482030088531385,0.8395956546265401,-14.868471920755063,131.23043725483873
"('USPPIYY', 'USOIL')",2,Standard,GRU,50,Kalman,0.8900454840883067,0.9434222194162626,0.9406071550812746,-18.63123813651269,158.08401134290312
"('USPPIYY', 'USOIL')",2,Standard,CNN,50,Kalman,0.43716552211082926,0.661184937903783,0.5872819760843637,-8.642316738926468,101.3127424758914
"('USPPIYY', 'USOIL')",2,Standard,RNN,50,Kalman,0.014341205066878802,0.11975477053912634,0.10163342270585758,0.683684017428791,15.467479601847556
"('USPPIYY', 'USOIL')",2,Standard,ANN,50,Kalman,0.0734705183592983,0.271054456446114,0.23897666545875348,-0.6204983539709878,45.595507904645
"('USPPIYY', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.1273662918420898,0.35688414344446545,0.3191682744110522,-1.8092474490534718,47.4546867812006
"('USPPIYY', 'USOIL')",2,Standard,XGBOOST,N/A,Kalman,0.12150266722999276,0.3485723271144638,0.30900383228650896,-1.679916742745688,42.943961050928095
"('INDPRO', 'UNRATE')",2,MinMax,LSTM,50,Kalman,0.006507942436895948,0.08067181934787357,0.07712539121291112,-1.3208561517415554,32.34408855415726
"('INDPRO', 'UNRATE')",2,MinMax,GRU,50,Kalman,0.07136400248663866,0.2671404171716415,0.25724020997023733,-24.44976170118252,102.81957826042513
"('INDPRO', 'UNRATE')",2,MinMax,CNN,50,Kalman,0.022294080585096604,0.14931202424820517,0.13721788305576121,-6.950493504675522,59.80085913532537
"('INDPRO', 'UNRATE')",2,MinMax,RNN,50,Kalman,0.011272145288194809,0.10617035974411507,0.10139827607863698,-3.0198615751600544,42.46729826212391
"('INDPRO', 'UNRATE')",2,MinMax,ANN,50,Kalman,0.04539020818048456,0.21304977864453312,0.18672779168765938,-15.187012240193198,76.50422913716575
"('INDPRO', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.02749447678705572,0.16581458556790388,0.1460783010651789,-8.80505377988393,63.992575150049824
"('INDPRO', 'UNRATE')",2,MinMax,XGBOOST,N/A,Kalman,0.020744360577168407,0.1440290268562848,0.11788881222323773,-6.397833850913647,52.83589287725672
"('INDPRO', 'UNRATE')",2,Standard,LSTM,50,Kalman,0.05181957281468939,0.22763912847902354,0.20204488347134736,-0.14295549187528445,35.153237992775004
"('INDPRO', 'UNRATE')",2,Standard,GRU,50,Kalman,0.5099502887397852,0.7141080371622947,0.6880684932823851,-10.247689848444734,128.0255057777581
"('INDPRO', 'UNRATE')",2,Standard,CNN,50,Kalman,0.1757533878274782,0.41922951688481835,0.39528398056307695,-2.8764947088903763,61.59029947680914
