leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,data_type,mse,rmse,mae,r2,mape
"('USM2', 'USOIL')",2,Standard,CNN,50,NONE,RAW,2.709565737852953,1.646075860297135,1.319912485984033,-3.7626116766025497,1578.636639206322
"('USM2', 'USOIL')",2,Standard,RNN,50,NONE,RAW,0.72054823376303,0.8488511257947592,0.6716704329013446,-0.26650975236880825,335.9122599922086
"('USM2', 'USOIL')",2,Standard,ANN,50,NONE,RAW,0.6961988308647138,0.8343853012036548,0.7358656462980928,-0.22371073518987372,681.0512290374921
"('USM2', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.4061745470869622,0.6373182463157337,0.44958505955838907,0.2860658024750605,688.4596565805122
"('USM2', 'USOIL')",2,Standard,XGBOOST,N/A,NONE,RAW,0.4963118510283111,0.7044940390296508,0.5529366343576758,0.12763119789938127,664.3651183699712
"('USPPIYY', 'INDPRO')",2,MinMax,LSTM,50,NONE,RAW,0.0060125909397179406,0.07754089849697346,0.05452539348039712,0.6337716811747305,19.55369222068639
"('USPPIYY', 'INDPRO')",2,MinMax,GRU,50,NONE,RAW,0.003439260900685097,0.05864521208662389,0.0438502137082953,0.7905138150445217,16.323847537897716
"('USPPIYY', 'INDPRO')",2,MinMax,CNN,50,NONE,RAW,0.009301604082441442,0.0964448240313675,0.06696144035463557,0.43343712225821274,24.189450531556417
"('USPPIYY', 'INDPRO')",2,MinMax,RNN,50,NONE,RAW,0.003004624306363403,0.05481445344399051,0.042361700835267045,0.8169876315463045,16.654559905342577
"('USPPIYY', 'INDPRO')",2,MinMax,ANN,50,NONE,RAW,0.006779028692863788,0.082334857095059,0.059955521981555605,0.5870877785721715,24.675962911370657
"('USPPIYY', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.009041119657151441,0.09508480245103021,0.07016542456048697,0.44930328945810516,25.767132186904977
"('USPPIYY', 'INDPRO')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.008236696030418813,0.0907562451317749,0.07509039746296697,0.4983009204952562,30.43357947192166
"('USPPIYY', 'INDPRO')",2,Standard,LSTM,50,NONE,RAW,0.13078789655427628,0.36164609296144246,0.2546523859991303,0.7701137290799746,292.5965931587307
"('USPPIYY', 'INDPRO')",2,Standard,GRU,50,NONE,RAW,0.13292815548518308,0.36459313691453804,0.2805769231133262,0.7663517896544463,491.0760627857621
"('USPPIYY', 'INDPRO')",2,Standard,CNN,50,NONE,RAW,0.34678765820280066,0.5888867957449893,0.4320152249209274,0.39045031195034063,289.87183406530977
"('USPPIYY', 'INDPRO')",2,Standard,RNN,50,NONE,RAW,0.07887375487813826,0.2808447166640994,0.24001913472436226,0.86136336878183,123.90336841148685
"('USPPIYY', 'INDPRO')",2,Standard,ANN,50,NONE,RAW,0.20225937504170163,0.4497325594636235,0.3185185972507006,0.6444881008721186,104.54711053709367
"('USPPIYY', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.3125980972912139,0.5591047283749386,0.41168554309239613,0.45054540384667685,575.3751274045683
"('USPPIYY', 'INDPRO')",2,Standard,XGBOOST,N/A,NONE,RAW,0.30627958715270903,0.5534253221101372,0.4592124095191146,0.46165146772399035,424.4659123398247
"('USPPIYY', 'UNRATE')",2,MinMax,LSTM,50,NONE,RAW,0.007065952316831885,0.08405921910672193,0.06546031611109795,0.5696111936039582,27.624129381511604
"('USPPIYY', 'UNRATE')",2,MinMax,GRU,50,NONE,RAW,0.006745770724315115,0.08213264104066735,0.072012206055183,0.5891135292063392,35.680867266860425
"('USPPIYY', 'UNRATE')",2,MinMax,CNN,50,NONE,RAW,0.010615410909262525,0.10303111621865758,0.0845535089624359,0.35341284149940577,39.746288158823326
"('USPPIYY', 'UNRATE')",2,MinMax,RNN,50,NONE,RAW,0.00423570557391558,0.06508229846828997,0.05039685818587603,0.7420021839292634,21.251849538120815
"('USPPIYY', 'UNRATE')",2,MinMax,ANN,50,NONE,RAW,0.006450454536537503,0.08031472179206937,0.05890919413734524,0.6071013071968964,23.673277445023064
"('USPPIYY', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.006755939507344949,0.08219452236825121,0.068743960448415,0.5884941462563176,33.785768089995656
"('USPPIYY', 'UNRATE')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.007073241370327818,0.08410256458829195,0.07170575316474141,0.5691672156526213,33.8603683722605
"('USPPIYY', 'UNRATE')",2,Standard,LSTM,50,NONE,RAW,0.6037422882737384,0.7770085509656496,0.6335271352257221,-0.06119959801000996,777.0957651738893
"('USPPIYY', 'UNRATE')",2,Standard,GRU,50,NONE,RAW,0.20361517044128558,0.4512373770437081,0.3881690574003402,0.642105015305699,90.6853930558385
"('USPPIYY', 'UNRATE')",2,Standard,CNN,50,NONE,RAW,0.7941402860657225,0.8911454909641424,0.7172139829679489,-0.39586271941646367,942.8416914550567
"('USPPIYY', 'UNRATE')",2,Standard,RNN,50,NONE,RAW,0.18580590515845807,0.43105209100346337,0.34073903868782485,0.6734084133383729,80.26086813478857
"('USPPIYY', 'UNRATE')",2,Standard,ANN,50,NONE,RAW,0.7683584364795145,0.8765605720539309,0.7302052158570617,-0.35054588647592677,871.9795595175017
"('USPPIYY', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.22561245942572036,0.4749867992120627,0.397450328182969,0.6034403156797417,329.40882276749375
"('USPPIYY', 'UNRATE')",2,Standard,XGBOOST,N/A,NONE,RAW,0.2506791439224244,0.5006786833113872,0.4278451941494948,0.559380530523057,310.6301802386074
"('USPPIYY', 'USOIL')",2,MinMax,LSTM,50,NONE,RAW,0.004533401572948208,0.06733053967515935,0.05625618659570938,0.7238694510791814,24.441173127160816
"('USPPIYY', 'USOIL')",2,MinMax,GRU,50,NONE,RAW,0.005411044074572312,0.07355979931030476,0.06484239171958218,0.670412041266686,29.760382964852578
"('USPPIYY', 'USOIL')",2,MinMax,CNN,50,NONE,RAW,0.00925437641563386,0.09619966951935885,0.08255070414142181,0.4363137704769907,34.30179519783688
"('USPPIYY', 'USOIL')",2,MinMax,RNN,50,NONE,RAW,0.002681918369419747,0.051787241376807736,0.043341972740027705,0.8366437255574751,18.844017775114605
"('USPPIYY', 'USOIL')",2,MinMax,ANN,50,NONE,RAW,0.0185760829999843,0.13629410478808063,0.1104212171880597,-0.1314735553525055,53.315454079180626
"('USPPIYY', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.0035932169041725044,0.059943447549940805,0.044754714212521154,0.7811363189042478,16.018588600154267
"('USPPIYY', 'USOIL')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.0054932156470549765,0.07411623065870913,0.05155775377748379,0.6654069515894949,18.383681706870025
"('USPPIYY', 'USOIL')",2,Standard,LSTM,50,NONE,RAW,0.15645388032470248,0.3955425139282786,0.3336863003647477,0.725000553825041,136.7734397641856
"('USPPIYY', 'USOIL')",2,Standard,GRU,50,NONE,RAW,0.25855774465738635,0.5084857369262056,0.43592680015649726,0.5455322908101679,182.4565065204322
"('USPPIYY', 'USOIL')",2,Standard,CNN,50,NONE,RAW,0.17477086894392166,0.4180560595708686,0.3325722165955546,0.6928047289888386,387.15958122009573
"('USPPIYY', 'USOIL')",2,Standard,RNN,50,NONE,RAW,0.11798418817937661,0.3434882649805909,0.2729460143311863,0.7926188449951287,248.71092227462276
"('USPPIYY', 'USOIL')",2,Standard,ANN,50,NONE,RAW,0.1473865040822079,0.383909499859287,0.3098420487872067,0.7409383077482481,456.91189252896993
"('USPPIYY', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.12958619411632172,0.35998082465087183,0.27040477964055165,0.7722259649939625,404.6876725281223
"('USPPIYY', 'USOIL')",2,Standard,XGBOOST,N/A,NONE,RAW,0.19056201059469857,0.4365340886972042,0.30254759340780757,0.6650485928072272,679.9828749341204
"('INDPRO', 'UNRATE')",2,MinMax,LSTM,50,NONE,RAW,0.01637968233568766,0.12798313301247027,0.09189629359862996,0.002309722242260892,35.663216020209084
"('INDPRO', 'UNRATE')",2,MinMax,GRU,50,NONE,RAW,0.025954550410111094,0.1611041601266432,0.11378596701025764,-0.5808977290922446,39.73999244894802
"('INDPRO', 'UNRATE')",2,MinMax,CNN,50,NONE,RAW,0.022479280372330622,0.14993091866700017,0.1033269619088045,-0.36921821918367925,36.77645370402033
