leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,business_cycle_range,leads_lags,mse,rmse,mae,r2,mape
"('USM2', 'USOIL')",2,Standard,LSTM,50,Baxter_King,6-32Q,12,1.2964688582406696,1.1386258640311442,0.9765729854333824,-0.22435781489514572,2006.8388247683497
"('USM2', 'USOIL')",2,Standard,GRU,50,Baxter_King,6-32Q,12,0.8412005424572893,0.9171698547473577,0.7318945966705875,0.20558796957973124,1839.214432439059
"('USM2', 'USOIL')",2,Standard,CNN,50,Baxter_King,6-32Q,12,4.7912152500887055,2.1888844761861477,1.593505649737509,-3.524722516089887,1929.6652821470332
"('USM2', 'USOIL')",2,Standard,RNN,50,Baxter_King,6-32Q,12,1.001382561955806,1.0006910422082362,0.7887504942471393,0.05431545259476178,1268.0005171738305
"('USM2', 'USOIL')",2,Standard,ANN,50,Baxter_King,6-32Q,12,2.273060019739152,1.5076670785485609,1.0395736791167403,-1.146629887176755,705.0070173462906
"('USM2', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.8029468808931091,0.8960730332361917,0.710758895003699,0.24171391983820145,1061.0138332040424
"('USM2', 'USOIL')",2,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,0.9939035068872503,0.9969470933240391,0.7300693837193356,0.06137851428190766,1414.7510696877096
"('USPPIYY', 'INDPRO')",2,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.007027775144327099,0.08383182655964916,0.06568903026682817,0.4365072351618894,15.248201448577698
"('USPPIYY', 'INDPRO')",2,MinMax,GRU,50,Baxter_King,6-32Q,12,0.005887782288790414,0.07673188573722409,0.05931355117521102,0.5279127956514839,13.652224185722655
"('USPPIYY', 'INDPRO')",2,MinMax,CNN,50,Baxter_King,6-32Q,12,0.008028188405636965,0.08960015851345893,0.06890659375179821,0.35629328081372647,16.257447045135013
"('USPPIYY', 'INDPRO')",2,MinMax,RNN,50,Baxter_King,6-32Q,12,0.00929057056317326,0.09638760585870602,0.07014841166702,0.2550744458874794,15.087702680418152
"('USPPIYY', 'INDPRO')",2,MinMax,ANN,50,Baxter_King,6-32Q,12,0.011037475895384412,0.10505939222832203,0.08359586884374144,0.11500614612796112,19.09839458477704
"('USPPIYY', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.0054853469527371326,0.07406312815927459,0.05680596349737399,0.5601803903772866,12.633146530594805
"('USPPIYY', 'INDPRO')",2,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.007496944282080815,0.08658489638545983,0.06685563681392932,0.39888886957958136,14.856526129724609
"('USPPIYY', 'INDPRO')",2,Standard,LSTM,50,Baxter_King,6-32Q,12,0.6521152814625946,0.8075365511619859,0.6401987038605201,0.3841560975442573,875.6288580826442
"('USPPIYY', 'INDPRO')",2,Standard,GRU,50,Baxter_King,6-32Q,12,0.4638395980832048,0.6810577053988927,0.5449325445331141,0.5619596775030502,613.0246498473864
"('USPPIYY', 'INDPRO')",2,Standard,CNN,50,Baxter_King,6-32Q,12,1.134208495214533,1.0649922512462393,0.8425877945357949,-0.07112255416673507,802.6803880033727
"('USPPIYY', 'INDPRO')",2,Standard,RNN,50,Baxter_King,6-32Q,12,0.4981060177051637,0.7057662627989267,0.5633908375701223,0.5295991943445464,757.9187402663327
"('USPPIYY', 'INDPRO')",2,Standard,ANN,50,Baxter_King,6-32Q,12,1.4000736449866389,1.1832470768975678,0.9347332401258136,-0.32219998789196524,753.2099307823389
"('USPPIYY', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.47714877214404133,0.690759561746373,0.5388298866870631,0.5493907745420505,502.6294478853092
"('USPPIYY', 'INDPRO')",2,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,0.6461761725988164,0.8038508397699268,0.6192040337414536,0.3897648665514414,371.62010816017556
"('USPPIYY', 'UNRATE')",2,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.010737623082765196,0.10362250278180506,0.08119635618513446,0.139048590138663,19.54842606490462
"('USPPIYY', 'UNRATE')",2,MinMax,GRU,50,Baxter_King,6-32Q,12,0.006995615860599608,0.083639798305589,0.06141830800937756,0.4390857928605437,14.548727553268082
"('USPPIYY', 'UNRATE')",2,MinMax,CNN,50,Baxter_King,6-32Q,12,0.007256232895123231,0.08518352478691658,0.06613704287335745,0.4181893056605841,15.69266426531917
"('USPPIYY', 'UNRATE')",2,MinMax,RNN,50,Baxter_King,6-32Q,12,0.008222303418665393,0.09067691778322305,0.07066224173955006,0.34072898014365316,15.98001759831938
"('USPPIYY', 'UNRATE')",2,MinMax,ANN,50,Baxter_King,6-32Q,12,0.0083556938077717,0.09140948423315656,0.06875681853492813,0.3300336295359978,16.308279227036266
"('USPPIYY', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.005024511472867964,0.07088378850532726,0.05597063077519988,0.597130556447496,13.088266745898478
"('USPPIYY', 'UNRATE')",2,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.0063729862646880655,0.07983098561766644,0.06265938992057529,0.48900874361878455,14.066034351310025
"('USPPIYY', 'UNRATE')",2,Standard,LSTM,50,Baxter_King,6-32Q,12,1.2444805797872964,1.115562898176206,0.8145045217424016,-0.17526118245176425,485.4323167399959
"('USPPIYY', 'UNRATE')",2,Standard,GRU,50,Baxter_King,6-32Q,12,0.5817982812406154,0.7627570263462772,0.5522444515369037,0.4505619878165418,380.0626873650047
